Student Id,Off Class,Days Enrolled,Full Day Present,Full Day Absent,Half Day,Total Late,Percent Attd
238550826,190,178,174,4,0,5,97.7
209267160,FYS,168,157,10,1,1,94
247280217,190,178,160,18,0,5,89.8
218602704,10A,178,168,10,0,104,94.3
221213218,190,0,0,0,0,0,0
215902784,12A,167,163,4,0,6,97.6
217856194,10A,178,167,11,0,3,93.8
224566059,190,178,173,5,0,0,97.1
227994597,0,159,156,3,0,0,98.1
235293644,12A,166,161,5,0,0,96.9
221317076,10A,178,175,3,0,1,98.3
223041351,10A,179,174,4,1,1,97.7
215795931,11A,167,160,7,0,0,95.8
219699303,11A,167,159,8,0,0,95.2
226809945,190,178,178,0,0,4,100
224702423,190,0,0,0,0,0,0
221320880,10A,178,175,3,0,1,98.3
218792398,12A,167,167,0,0,0,100
225896174,11A,167,164,3,0,0,98.2
220178024,11A,167,164,3,0,0,98.2
225573294,0,178,153,25,0,36,85.9
240870212,190,178,177,1,0,0,99.4
208652768,FYS,166,153,13,0,0,92.1
207532482,FYS,167,154,13,0,7,92.2
215259300,12A,167,164,3,0,0,98.2
224281527,190,178,173,5,0,0,97.1
215015157,12A,167,162,5,0,0,97
220138630,FYS,167,140,27,0,3,83.8
215092461,FYS,168,151,16,1,8,90.4
225122522,190,178,173,5,0,0,97.1
223992959,10A,179,177,2,0,4,98.8
215578295,FYS,168,141,26,1,2,84.5
243722998,190,177,177,0,0,0,100
215983347,11A,167,161,6,0,0,96.4
227223328,190,0,0,0,0,0,0
224284182,190,178,171,7,0,0,96
232778670,199,178,167,11,0,30,93.8
223125055,10D,178,172,6,0,0,96.6
222688905,190,179,168,11,0,47,93.8
229136585,11A,167,159,8,0,1,95.2
210575643,12A,168,163,4,1,2,97.6
215941683,11A,167,152,15,0,0,91
221333248,10A,178,167,11,0,105,93.8
224565176,190,178,172,6,0,1,96.6
215439407,11D,167,162,5,0,0,97
246884522,11A,167,155,12,0,0,92.8
247913817,10A,170,156,14,0,4,91.7
231558644,190,178,161,17,0,38,90.4
209025923,FYS,167,116,51,0,3,69.4
245004429,10A,178,160,18,0,93,89.8
243703584,11A,167,163,4,0,0,97.6
219748233,11A,167,162,5,0,0,97
223724915,10A,178,170,8,0,2,95.5
239543150,FYS,168,146,21,1,5,87.5
227438447,190,178,177,1,0,5,99.4
214207425,12A,167,141,26,0,1,84.4
230397564,190,178,169,9,0,2,94.9
209288695,FYS,168,118,49,1,9,70.8
222555377,10A,177,168,9,0,7,94.9
217064237,12A,167,166,1,0,1,99.4
220105902,11D,167,155,12,0,0,92.8
214952152,11A,167,165,2,0,0,98.8
217939511,11A,167,167,0,0,1,100
214864449,190,178,176,2,0,0,98.8
223145160,0,178,172,6,0,15,96.6
218605244,12A,167,153,14,0,0,91.6
223571688,0,178,170,8,0,0,95.5
215298001,12A,160,137,23,0,2,85.6
217608058,10A,178,172,6,0,8,96.6
208536409,12D,167,158,9,0,4,94.6
216280271,11A,167,155,12,0,0,92.8
214708513,11D,167,166,1,0,0,99.4
222827081,10A,180,157,21,2,31,88.3
208699256,FYS,167,163,4,0,13,97.6
217266865,12A,167,167,0,0,0,100
225180520,0,178,172,6,0,1,96.6
221316409,10A,178,174,4,0,0,97.7
233638790,190,178,178,0,0,0,100
221322225,10A,178,174,4,0,24,97.7
226084390,190,177,173,4,0,2,97.7
223451907,0,0,0,0,0,0,0
216878447,12A,167,165,2,0,3,98.8
203532015,10A,178,175,3,0,0,98.3
208799304,FYS,168,151,16,1,20,90.4
219726635,11A,166,154,12,0,2,92.7
222216806,11A,167,144,23,0,0,86.2
225122639,190,178,171,7,0,6,96
209094366,12D,167,152,15,0,2,91
225668276,10A,178,170,8,0,4,95.5
215192287,11A,167,167,0,0,0,100
231462557,10A,178,174,4,0,1,97.7
219709904,11A,167,163,4,0,0,97.6
222342073,11A,167,166,1,0,0,99.4
214309502,FYS,167,167,0,0,0,100
220195267,11A,167,165,2,0,0,98.8
240039024,12A,167,152,15,0,1,91
212163596,12A,167,162,5,0,0,97
221277874,190,0,0,0,0,0,0
220459002,11A,167,166,1,0,0,99.4
219606209,11A,167,166,1,0,0,99.4
221540297,190,178,175,3,0,0,98.3
222780777,199,178,142,36,0,103,79.7
219219235,10A,178,172,6,0,0,96.6
217108224,12A,167,159,8,0,0,95.2
219538261,11A,167,162,5,0,1,97
218531184,10D,178,164,14,0,65,92.1
244736369,12A,167,160,7,0,0,95.8
219895497,11A,167,164,3,0,0,98.2
213312861,FYS,168,155,12,1,13,92.8
220674287,10D,178,178,0,0,0,100
218264885,11D,167,165,2,0,0,98.8
215328238,FYS,167,158,9,0,0,94.6
216834234,12A,167,158,9,0,0,94.6
208999573,FYS,167,166,1,0,0,99.4
220216873,11A,167,164,3,0,0,98.2
216046219,11D,167,163,4,0,0,97.6
218738029,10A,175,167,8,0,0,95.4
219709870,11A,167,166,1,0,0,99.4
239947898,11A,168,150,17,1,0,89.8
237512231,11A,167,163,4,0,0,97.6
226604429,190,178,172,6,0,6,96.6
233584689,190,177,168,9,0,1,94.9
220365209,10D,178,174,4,0,14,97.7
238550735,11A,167,166,1,0,0,99.4
223959164,190,178,177,1,0,1,99.4
230329286,190,178,171,7,0,67,96
214435091,FYS,167,157,10,0,3,94
222781213,10A,178,177,1,0,0,99.4
219928728,11D,167,157,10,0,0,94
216862979,10A,178,175,3,0,1,98.3
214434540,11D,167,165,2,0,0,98.8
223249996,10A,178,173,5,0,3,97.1
246068589,190,179,173,5,1,5,97.2
221063100,10A,178,165,13,0,4,92.6
207243940,12A,167,167,0,0,0,100
221318272,10A,178,170,8,0,3,95.5
225695139,190,178,175,3,0,6,98.3
221128408,11A,167,148,19,0,0,88.6
220154744,11A,168,155,12,1,1,92.8
226188456,10A,178,139,39,0,3,78
219627031,11A,167,164,3,0,0,98.2
219688637,11A,167,167,0,0,0,100
228583332,190,178,169,9,0,1,94.9
220348486,11A,167,163,4,0,1,97.6
220083885,11D,167,156,11,0,0,93.4
221021108,10A,178,177,1,0,3,99.4
214534000,FYS,167,151,16,0,2,90.4
214510158,FYS,167,164,3,0,0,98.2
209097120,FYS,167,163,4,0,1,97.6
233320548,11D,166,160,6,0,38,96.3
215430869,FYS,166,163,3,0,0,98.1
216825604,12A,167,163,4,0,0,97.6
216736470,12A,166,145,21,0,4,87.3
214534018,11A,167,71,96,0,22,42.5
220791941,199,178,162,16,0,5,91
247239874,190,178,173,5,0,0,97.1
208517334,FYS,166,161,5,0,1,96.9
227958345,190,178,173,5,0,0,97.1
209284785,FYS,168,157,10,1,2,94
216028555,11A,168,164,3,1,0,98.2
228527537,0,178,178,0,0,1,100
219690286,10A,178,166,12,0,59,93.2
216027417,11A,167,167,0,0,1,100
221535925,11A,167,158,9,0,0,94.6
218509974,11A,167,161,6,0,1,96.4
208619569,12A,167,165,2,0,0,98.8
226083913,190,178,177,1,0,0,99.4
226312635,11A,167,167,0,0,0,100
222555450,10A,177,171,6,0,1,96.6
226046068,190,178,172,6,0,0,96.6
227438439,190,178,170,8,0,1,95.5
220769012,190,178,164,14,0,0,92.1
218733970,12A,167,166,1,0,2,99.4
219484912,11A,167,158,9,0,0,94.6
218733954,12A,167,166,1,0,0,99.4
217022615,11A,167,145,22,0,1,86.8
209076660,12A,167,162,5,0,2,97
244846424,12A,167,167,0,0,0,100
217126572,10D,178,111,67,0,70,62.3
244846432,12A,168,164,3,1,0,98.2
244416301,11A,167,167,0,0,0,100
220973192,10A,178,175,3,0,4,98.3
220250187,0,166,164,2,0,0,98.7
214583395,FYS,167,143,24,0,0,85.6
219976503,11A,167,147,20,0,0,88
219926557,12A,167,166,1,0,0,99.4
214676892,12A,167,162,5,0,0,97
222323602,12A,167,43,124,0,2,25.7
215386632,FYS,167,140,27,0,8,83.8
208101345,FYS,167,162,5,0,0,97
220082291,11A,167,163,4,0,0,97.6
242370732,10A,178,166,12,0,3,93.2
215777442,12A,167,162,5,0,0,97
215848680,FYS,166,165,1,0,1,99.3
236838033,10A,0,0,0,0,0,0
222725400,0,178,161,17,0,41,90.4
233766468,190,178,176,2,0,0,98.8
231720285,10A,178,167,11,0,0,93.8
205465602,190,178,175,3,0,2,98.3
209818681,12A,167,55,112,0,13,32.9
219729720,11D,167,162,5,0,0,97
228528147,12A,167,166,1,0,0,99.4
224200212,190,50,49,1,0,6,98
238115612,12A,167,166,1,0,2,99.4
221178007,10D,178,170,8,0,0,95.5
213319890,FYS,167,163,4,0,0,97.6
221309073,10A,177,172,5,0,2,97.1
209046697,FYS,168,89,78,1,18,53.5
216092049,12A,173,172,1,0,1,99.4
220615280,10A,0,0,0,0,0,0
218965598,10A,178,173,5,0,7,97.1
214232886,11A,167,153,14,0,0,91.6
248235731,11A,84,83,1,0,0,98.8
222924169,962,178,178,0,0,0,100
220942684,11A,167,165,2,0,0,98.8
220942692,11A,167,165,2,0,0,98.8
215141466,12A,166,162,4,0,0,97.5
220650543,190,179,160,19,0,78,89.3
219206067,10A,176,172,4,0,0,97.7
227260650,190,178,175,3,0,0,98.3
237401898,12A,167,144,23,0,1,86.2
218563674,10A,178,177,1,0,0,99.4
220511240,10A,179,158,20,1,38,88.8
208644047,12A,167,131,36,0,0,78.4
244645875,0,178,159,19,0,8,89.3
223991332,10A,178,175,3,0,0,98.3
220175830,11A,166,166,0,0,1,100
244846556,12A,167,167,0,0,0,100
218536621,12A,167,167,0,0,0,100
215567348,12A,167,157,10,0,0,94
207090457,FYS,167,165,2,0,2,98.8
218594026,12A,167,167,0,0,0,100
209329465,FYS,167,167,0,0,0,100
204338875,10A,178,172,6,0,10,96.6
228213609,190,178,174,4,0,1,97.7
219217502,10D,178,178,0,0,0,100
230404378,190,178,169,9,0,86,94.9
207293945,12A,167,165,2,0,0,98.8
208929471,FYS,168,164,3,1,13,98.2
225087303,190,178,130,48,0,59,73
221066970,190,179,161,17,1,8,90.5
209800663,12A,167,123,44,0,29,73.6
215792474,11A,167,160,7,0,4,95.8
215515669,12D,167,164,3,0,0,98.2
227232170,10A,175,172,3,0,2,98.2
217228469,12D,167,151,16,0,2,90.4
224816603,190,178,176,2,0,17,98.8
215996521,12A,166,164,2,0,0,98.7
220363964,11A,167,165,2,0,0,98.8
220342380,11D,167,163,4,0,0,97.6
232057109,190,179,177,1,1,1,99.4
211421789,12A,167,153,14,0,0,91.6
230404386,190,178,177,1,0,0,99.4
223568049,10A,178,122,56,0,0,68.5
217323898,12A,167,148,19,0,2,88.6
228071361,190,178,173,5,0,74,97.1
220740989,11A,167,154,13,0,1,92.2
214621054,FYS,167,164,3,0,0,98.2
220645642,962,178,171,7,0,0,96
234661296,11A,167,163,4,0,0,97.6
215615204,12D,167,166,1,0,0,99.4
219542461,12A,167,165,2,0,0,98.8
222780652,10A,178,178,0,0,0,100
219851656,11A,167,130,37,0,8,77.8
220220511,0,178,142,36,0,65,79.7
218653335,12A,167,163,4,0,1,97.6
242349991,10A,178,164,14,0,20,92.1
234723328,10A,0,0,0,0,0,0
225574219,199,178,174,4,0,31,97.7
215788936,12A,167,130,37,0,11,77.8
216091959,11D,167,123,44,0,0,73.6
221861172,10A,178,150,28,0,116,84.2
215436064,12A,167,167,0,0,11,100
216993816,12A,167,158,9,0,1,94.6
226240505,10A,178,172,6,0,5,96.6
223140591,190,180,158,20,2,1,88.8
220736383,11A,167,161,6,0,0,96.4
231136466,11A,167,165,2,0,0,98.8
216142943,12A,167,167,0,0,0,100
223187758,199,178,168,10,0,2,94.3
215216052,FYS,168,126,41,1,4,75.5
220512883,11A,167,158,9,0,1,94.6
217002872,12A,167,148,19,0,1,88.6
219543287,11A,167,161,6,0,1,96.4
