StudentID,Grade,Course,Period,Teacher,Mark1,Mark2,Mark3,FinalMark,Term,Year
202994331,11,EES87X,5,Radcliffe,83,82,76,76,1,2018
202994331,11,FSS61,1,HOWELL,71,82,65,65,1,2018
202994331,11,HUS21,8,Villa,70,80,76,76,1,2018
202994331,11,MRS21,3,Chen,70,77,79,79,1,2018
202994331,11,PHS11,3,Owens-Edington,71,83,78,78,1,2018
202994331,11,PPS85,1,Joyce,94,95,74,74,1,2018
202994331,11,RQS41T,1,ANTONELLI,93,86,81,81,1,2018
202994331,11,SWS21QC,6,Garcia,92,84,83,83,1,2018
203729280,11,EES87X,5,Radcliffe,55,55,55,55,1,2018
203729280,11,HUS21,6,Villa,65,55,55,55,1,2018
203729280,11,MRS21,1,Chen,60,67,69,70,1,2018
203729280,11,PPS85,3,Joyce,95,93,87,87,1,2018
203729280,11,RQS41T,3,ANTONELLI,90,84,83,83,1,2018
203729280,11,SES21,1,DiGiovanna,67,65,65,65,1,2018
205478571,11,EES81,3,Flood,68,67,67,67,1,2018
205478571,11,EES82,3,Flood,68,67,67,67,1,2018
205478571,11,HUS21,1,Villa,55,55,55,55,1,2018
205478571,11,MPS21,6,KARAVITIS,55,60,65,65,1,2018
205478571,11,PPS85,1,Joyce,80,80,77,80,1,2018
205478571,11,RQS41T,1,ANTONELLI,77,66,65,65,1,2018
205557192,11,FSS61,1,HOWELL,60,55,45,45,1,2018
205557192,11,HGS41,3,Ferrari,65,55,55,55,1,2018
205557192,11,HGS42,3,Ferrari,65,55,55,55,1,2018
205557192,11,MES41,6,Cramm,60,55,55,55,1,2018
205557192,11,MES42,8,Cramm,60,55,55,55,1,2018
205557192,11,PPS85,1,Joyce,65,66,55,55,1,2018
205557192,11,RQS41T,1,ANTONELLI,55,NS,NS,NS,1,2018
205557192,11,SES21,6,DiGiovanna,55,55,45,45,1,2018
205711443,12,ALS11,6,Anastas,77,81,85,85,1,2018
205711443,12,HES11,1,Abalyan,67,71,69,69,1,2018
205711443,12,MPS21,3,KARAVITIS,55,55,65,65,1,2018
205711443,12,PPS87,1,Joyce,95,97,89,90,1,2018
205711443,12,RQS43T,1,ANTONELLI,86,81,78,78,1,2018
205740780,12,AUS21,5,Barratt,45,55,45,45,1,2018
205740780,12,EES87X,1,Radcliffe,55,55,55,55,1,2018
205740780,12,HES11,8,Abalyan,72,60,55,55,1,2018
205740780,12,HUS21,6,Villa,55,55,55,55,1,2018
205740780,12,MRS21,1,Chen,55,55,45,55,1,2018
205740780,12,PHS11,3,Owens-Edington,55,60,55,65,1,2018
205740780,12,PPS83,5,Petrocelli,65,NS,55,68,1,2018
205740780,12,PPS85,3,Joyce,85,NX,86,86,1,2018
205740780,12,RQS41T,3,ANTONELLI,90,78,71,71,1,2018
205969975,11,ANS21,1,Anastas,93,89,88,88,1,2018
205969975,11,EES87X,5,Radcliffe,75,73,72,72,1,2018
205969975,11,FSS61,1,HOWELL,76,74,70,70,1,2018
205969975,11,HUS21,6,Villa,73,80,78,78,1,2018
